-0.060000,-1.030000,0.000000
-0.060000,-1.020000,0.000000
-0.060000,-1.010000,0.000000
-0.060000,-1.000000,0.000000
-0.060000,-0.990000,0.000000
-0.060000,-0.980000,0.000000
-0.060000,-0.970000,0.000000
-0.060000,-0.960000,0.000000
-0.060000,-0.950000,0.000000
-0.060000,-0.940000,0.000000
-0.060000,-0.930000,0.000000
-0.060000,-0.920000,0.000000
-0.060000,-0.910000,0.000000
-0.060000,-0.900000,0.000000
-0.060000,-0.890000,0.000000
-0.060000,-0.880000,0.000000
-0.060000,-0.870000,0.000000
-0.060000,-0.860000,0.000000
-0.060000,-0.850000,0.000000
-0.060000,-0.840000,0.000000
-0.060000,-0.830000,0.000000
-0.060000,-0.820000,0.000000
-0.060000,-0.810000,0.000000
-0.060000,-0.800000,0.000000
-0.060000,-0.790000,0.000000
-0.060000,-0.780000,0.000000
-0.060000,-0.770000,0.000000
-0.060000,-0.760000,0.000000
-0.060000,-0.750000,0.000000
-0.060000,-0.740000,0.000000
-0.060000,-0.730000,0.000000
-0.060000,-0.720000,0.000000
-0.060000,-0.710000,0.000000
-0.060000,-0.700000,0.000000
-0.060000,-0.690000,0.000000
-0.060000,-0.680000,0.003348
-0.060000,-0.670000,0.005578
-0.060000,-0.660000,0.007681
-0.060000,-0.650000,0.009676
-0.060000,-0.640000,0.011507
-0.060000,-0.630000,0.013117
-0.060000,-0.620000,0.014499
-0.060000,-0.610000,0.015632
-0.060000,-0.600000,0.016528
-0.060000,-0.590000,0.017202
-0.060000,-0.580000,0.017656
-0.060000,-0.570000,0.017905
-0.060000,-0.560000,0.017977
-0.060000,-0.550000,0.017852
-0.060000,-0.540000,0.017565
-0.060000,-0.530000,0.017144
-0.060000,-0.520000,0.016597
-0.060000,-0.510000,0.015891
-0.060000,-0.500000,0.015103
-0.060000,-0.490000,0.014211
-0.060000,-0.480000,0.013338
-0.060000,-0.470000,0.012208
-0.060000,-0.460000,0.011096
-0.060000,-0.450000,0.010099
-0.060000,-0.440000,0.008801
-0.060000,-0.430000,0.007487
-0.060000,-0.420000,0.006325
-0.060000,-0.410000,0.005488
-0.060000,-0.400000,0.000000
-0.060000,-0.390000,0.004923
-0.060000,-0.380000,0.005797
-0.060000,-0.370000,0.006200
-0.060000,-0.360000,0.006259
-0.060000,-0.350000,0.006161
-0.060000,-0.340000,0.005884
-0.060000,-0.330000,0.005519
-0.060000,-0.320000,0.005061
-0.060000,-0.310000,0.004532
-0.060000,-0.300000,0.003951
-0.060000,-0.290000,0.000000
-0.060000,-0.280000,0.002164
-0.060000,-0.270000,0.001642
-0.060000,-0.260000,0.001311
-0.060000,-0.250000,0.001054
-0.060000,-0.240000,0.000000
-0.060000,-0.230000,0.000000
-0.060000,-0.220000,0.000000
-0.060000,-0.210000,0.000000
-0.060000,-0.200000,0.000000
-0.060000,-0.190000,0.000000
-0.060000,-0.180000,0.000000
-0.060000,-0.170000,0.000000
-0.060000,-0.160000,0.000000
-0.060000,-0.150000,0.000000
-0.060000,-0.140000,0.000000
-0.060000,-0.130000,0.000000
-0.060000,-0.120000,0.000000
-0.060000,-0.110000,0.000000
-0.060000,-0.100000,0.000000
-0.060000,-0.090000,0.000000
-0.060000,-0.080000,0.000000
-0.060000,-0.070000,0.000000
-0.060000,-0.060000,0.000000
-0.060000,-0.050000,0.000000
-0.060000,-0.040000,0.000000
-0.060000,-0.030000,0.000000
-0.060000,-0.020000,0.000000
-0.060000,-0.010000,0.000000
-0.060000,0.000000,0.000000
-0.060000,0.010000,0.000000
-0.060000,0.020000,0.000000
-0.060000,0.030000,0.000000
-0.060000,0.040000,0.000000
-0.060000,0.050000,0.000000
-0.060000,0.060000,0.000000
-0.060000,0.070000,0.000000
-0.060000,0.080000,0.000000
-0.060000,0.090000,0.000000
-0.060000,0.100000,0.000000
-0.060000,0.110000,0.000000
-0.060000,0.120000,0.000000
-0.060000,0.130000,0.000000
-0.060000,0.140000,0.000000
-0.060000,0.150000,0.000000
-0.060000,0.160000,0.000000
-0.060000,0.170000,0.000000
-0.060000,0.180000,0.000000
-0.060000,0.190000,0.000000
-0.060000,0.200000,0.000000
-0.060000,0.210000,0.000000
-0.060000,0.220000,0.000000
-0.060000,0.230000,0.000000
